Annee,country,Eight Regions,Four Regions,Geo,Members Oecd G77,Six Regions,UN member since,World bank income group 2017,World bank region,CO2 par habitant,Latitude,Longitude
1972,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,2.52,41.0,20.0
1973,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,2.3,41.0,20.0
1974,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.85,41.0,20.0
1975,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.91,41.0,20.0
1976,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,2.01,41.0,20.0
1977,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,2.28,41.0,20.0
1978,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,2.53,41.0,20.0
1979,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,2.9,41.0,20.0
1980,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.94,41.0,20.0
1981,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,2.69,41.0,20.0
1982,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,2.62,41.0,20.0
1983,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,2.68,41.0,20.0
1984,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,2.69,41.0,20.0
1985,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,2.66,41.0,20.0
1986,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,2.67,41.0,20.0
1987,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,2.41,41.0,20.0
1988,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,2.33,41.0,20.0
1989,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,2.78,41.0,20.0
1990,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.68,41.0,20.0
1991,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.31,41.0,20.0
1992,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,0.775,41.0,20.0
1993,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,0.724,41.0,20.0
1994,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,0.6,41.0,20.0
1995,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,0.655,41.0,20.0
1996,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,0.637,41.0,20.0
1997,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,0.49,41.0,20.0
1998,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,0.56,41.0,20.0
1999,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,0.96,41.0,20.0
2000,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,0.978,41.0,20.0
2001,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.05,41.0,20.0
2002,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.23,41.0,20.0
2003,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.41,41.0,20.0
2004,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.38,41.0,20.0
2005,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.41,41.0,20.0
2006,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.3,41.0,20.0
2007,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.32,41.0,20.0
2008,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.48,41.0,20.0
2009,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.5,41.0,20.0
2010,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.58,41.0,20.0
2011,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.8,41.0,20.0
2012,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.69,41.0,20.0
2013,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.75,41.0,20.0
2014,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.98,41.0,20.0
1960,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,0.554,28.0,3.0
1961,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,0.532,28.0,3.0
1962,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,0.485,28.0,3.0
1963,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,0.453,28.0,3.0
1964,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,0.46,28.0,3.0
1965,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,0.522,28.0,3.0
1966,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,0.649,28.0,3.0
1967,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,0.632,28.0,3.0
1968,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,0.659,28.0,3.0
1969,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,0.797,28.0,3.0
1970,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,1.04,28.0,3.0
1971,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,1.25,28.0,3.0
1972,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,1.84,28.0,3.0
1973,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,2.42,28.0,3.0
1974,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,1.96,28.0,3.0
1975,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,1.92,28.0,3.0
1976,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,2.28,28.0,3.0
1977,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,2.37,28.0,3.0
1978,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,3.43,28.0,3.0
1979,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,2.43,28.0,3.0
1980,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,3.44,28.0,3.0
1981,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,2.33,28.0,3.0
1982,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,1.91,28.0,3.0
1983,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,2.48,28.0,3.0
1984,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,3.25,28.0,3.0
1985,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,3.23,28.0,3.0
1986,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,3.28,28.0,3.0
1987,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,3.52,28.0,3.0
1988,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,3.41,28.0,3.0
1989,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,3.17,28.0,3.0
1990,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,2.97,28.0,3.0
1991,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,2.98,28.0,3.0
1992,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,2.95,28.0,3.0
1993,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,2.96,28.0,3.0
1994,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,3.05,28.0,3.0
1995,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,3.3,28.0,3.0
1996,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,3.3,28.0,3.0
1997,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,2.92,28.0,3.0
1998,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,3.53,28.0,3.0
1999,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,2.99,28.0,3.0
2000,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,2.82,28.0,3.0
2001,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,2.67,28.0,3.0
2002,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,2.81,28.0,3.0
2003,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,2.83,28.0,3.0
2004,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,2.7,28.0,3.0
2005,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,3.22,28.0,3.0
2006,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,2.99,28.0,3.0
2007,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,3.19,28.0,3.0
2008,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,3.16,28.0,3.0
2009,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,3.42,28.0,3.0
